CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
275132942,2023-09-29,02:10:00,09/29/2023,02:14:00,110.0,09/29/2023,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1019164.0,210169.0,25-44,WHITE HISPANIC,M,40.7434812638841,-73.8740035373971,"(40.7434812638841, -73.8740035373971)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,WHITE HISPANIC,M
262914915,2023-01-31,15:00:00,01/31/2023,15:10:00,23.0,02/02/2023,116,SEX CRIMES,164.0,SODOMY 3,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),672,998751.0,226901.0,18-24,BLACK,M,40.7894632995555,-73.9476340039424,"(40.7894632995555, -73.9476340039424)",PATROL BORO MAN NORTH,(null),18-24,BLACK,F
241112871,2021-12-26,19:40:00,02/23/2022,12:30:00,71.0,02/23/2022,353,UNAUTHORIZED USE OF A VEHICLE,462.0,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),999005.0,181250.0,25-44,BLACK,M,40.664154,-73.946814,"(40.664154, -73.946814)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,UNKNOWN,D
265317172,2023-03-18,03:00:00,03/18/2023,07:00:00,20.0,03/18/2023,104,RAPE,153.0,RAPE 3,COMPLETED,FELONY,MANHATTAN,INSIDE,HOTEL/MOTEL,N.Y. POLICE DEPT,0,(null),(null),(null),991202.0,224999.0,UNKNOWN,UNKNOWN,M,40.7842519786623,-73.9748976664227,"(40.7842519786623, -73.9748976664227)",PATROL BORO MAN NORTH,(null),25-44,WHITE,F
227210457,2021-04-21,21:28:00,04/21/2021,21:31:00,14.0,04/21/2021,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985033.0,212393.0,25-44,BLACK HISPANIC,M,40.749647,-73.997171,"(40.749647, -73.997171)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
265389720,2023-03-20,18:00:00,03/20/2023,18:09:00,81.0,03/20/2023,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),450,1005319.0,190473.0,<18,BLACK,M,40.6894642952604,-73.9240290899499,"(40.6894642952604, -73.9240290899499)",PATROL BORO BKLYN NORTH,(null),<18,BLACK,F
262523981,2023-01-25,23:35:00,01/25/2023,23:40:00,14.0,01/26/2023,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985764.0,213806.0,25-44,AMERICAN INDIAN/ALASKAN NATIVE,U,40.7535327012632,-73.9945368920152,"(40.7535327012632, -73.9945368920152)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
270089165,2023-06-19,19:07:00,06/19/2023,19:15:00,113.0,06/19/2023,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1046315.0,187088.0,25-44,BLACK,F,40.6799807384666,-73.7762339071953,"(40.6799807384666, -73.7762339071953)",PATROL BORO QUEENS SOUTH,(null),25-44,BLACK,M
267057986,2023-04-10,22:00:00,04/10/2023,22:15:00,69.0,04/21/2023,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1010541.0,175595.0,25-44,BLACK,M,40.6486135510607,-73.9052572032302,"(40.6486135510607, -73.9052572032302)",PATROL BORO BKLYN SOUTH,(null),<18,BLACK,F
270866862,2023-07-05,22:20:00,07/05/2023,22:25:00,13.0,07/05/2023,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988886.0,207857.0,UNKNOWN,WHITE HISPANIC,M,40.7372030985741,-73.9832725981497,"(40.7372030985741, -73.9832725981497)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,F
228587332,2021-05-23,21:41:00,05/24/2021,01:00:00,44.0,05/24/2021,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1006490.0,244533.0,(null),(null),(null),40.8378421209284,-73.9196277517392,"(40.8378421209284, -73.9196277517392)",PATROL BORO BRONX,(null),18-24,WHITE HISPANIC,F
229259367,2021-06-08,16:35:00,06/08/2021,16:41:00,14.0,06/08/2021,343,THEFT OF SERVICES,475.0,UNAUTH. SALE OF TRANS. SERVICE,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),986061.0,213320.0,(null),(null),(null),40.75219043,-73.99346359,"(40.75219043, -73.99346359)",PATROL BORO MAN SOUTH,34 ST.-PENN STATION,UNKNOWN,UNKNOWN,E
239114206,2021-10-28,12:00:00,10/31/2021,12:00:00,41.0,01/14/2022,116,SEX CRIMES,168.0,SODOMY 1,COMPLETED,FELONY,BRONX,INSIDE,PUBLIC BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),1013037.0,236657.0,UNKNOWN,ASIAN / PACIFIC ISLANDER,M,40.8162058439227,-73.8960011932583,"(40.8162058439227, -73.8960011932583)",PATROL BORO BRONX,(null),25-44,ASIAN / PACIFIC ISLANDER,M
241773166,2021-10-06,15:30:00,,(null),6.0,03/08/2022,104,RAPE,159.0,"RAPE 1,ATTEMPT",ATTEMPTED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),982755.0,206652.0,25-44,WHITE,M,40.7338967584511,-74.0053958373447,"(40.7338967584511, -74.0053958373447)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
264080760,2023-02-23,00:20:00,02/23/2023,00:36:00,45.0,02/23/2023,363,OFFENSES AGAINST PUBLIC SAFETY,799.0,"PUBLIC SAFETY,UNCLASSIFIED MIS",COMPLETED,MISDEMEANOR,BRONX,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1024830.0,246246.0,UNKNOWN,ASIAN / PACIFIC ISLANDER,M,40.84247028,-73.85333668,"(40.84247028, -73.85333668)",PATROL BORO BRONX,(null),UNKNOWN,UNKNOWN,E
266852650,2023-04-17,23:00:00,04/18/2023,06:30:00,79.0,04/18/2023,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),483,999496.0,190300.0,18-24,UNKNOWN,M,40.68900139556,-73.9450265328727,"(40.68900139556, -73.9450265328727)",PATROL BORO BKLYN NORTH,(null),18-24,UNKNOWN,F
239959979,2022-02-01,12:00:00,02/01/2022,12:18:00,60.0,02/01/2022,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),238,990784.0,149362.0,18-24,BLACK,F,40.5766459780433,-73.9764803960699,"(40.5766459780433, -73.9764803960699)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,BLACK,M
