Incident Reporting Date,Trafficking Type,Industry Sector,Recruitment Method,Transportation Method,Coercion Method,Trafficker Gender,Trafficker Age,Victim Gender,Victim Age,Info Source,Data Source,Country Code,Country,Location Type,Latitude,Longitude
2022-07-27,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Pornography,Servitude","Social Media,Violence Threats Abuse",Truck,"Minor,Psychological Abuse/Threat or Force,Sexual Abuse",Unknown,,"Female,Male",,Internet/URL,tah,US,United States,Arrest,40.65,-73.95
2023-11-24,"Child Sexual Exploitation,Sexual Exploitation","Domestic Work/Servitude,Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Male,,Female,,Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2023-08-28,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",,Unknown,Minor,Male,58-year-old,,,Internet/URL,tah,US,United States,Arrest,40.77,-73.97
2024-09-18,"Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Accommodation/Hotel/Motel,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",Violence Threats Abuse,Unknown,"Forced,Minor,Sexual Abuse",Unknown,,Female,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-05-18,Sexual Exploitation,"Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,Minor,Unknown,,Female,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-05-16,,"Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Financial Obligation, Blackmail,Violence Threats Abuse",Car,,Male,,,,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2024-06-28,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Male,,,"infants,10-year-old",Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2023-11-13,Child Sexual Exploitation,"Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Male,82,Female,16 years old,Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2023-09-14,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Reference,40.71,-74.01
2022-02-17,Child Sexual Exploitation,"Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,Sexual Abuse,Unknown,,,,Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2022-12-19,,"Accommodation/Hotel/Motel,Arts and Entertainment,Child Marriage,Personal Sexual Servitude,Pre-School/Child Day Care Service,Professional/Scientific/Tech Services,Restaurant/Takeaway,Servitude","Financial Inducement,Relationship Marriage,Social Media","Car,Truck",Minor,"Female,Male","77,90,82,94,65,87,78,85,88,76,102,83,80,73,20,68,74,79,70,81,29,30,89,92,70 s,75,106,69,31,62,57,22,84,91,25,52,50,71,67,93,86,51,60,55,96,53,27,32,59,72,49,28,34,97,66,63,61,40","Female,Male","16,17,13,12,26,14",Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,40.65,-73.95
2023-02-18,"Child Trafficking,Child Sexual Exploitation","Child Marriage,Personal Sexual Servitude,Restaurant/Takeaway,Servitude,Sexual Servitude","Relationship Marriage,Violence Threats Abuse",Unknown,"Forced,Minor",Male,,Male,"aged 6,6-year-old",Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,40.78,-73.97
2024-01-25,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude","Social Media,Violence Threats Abuse",Unknown,Sexual Abuse,Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.71,-74.01
2022-12-29,"Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude,Sexual Servitude","Financial Inducement,Promise of Employment,Financial Obligation, Blackmail",Boat,"Forced,Minor,Sexual Abuse",Unknown,,Female,"minor,as young as 12",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-03-30,"Child Sexual Exploitation,Forced Criminality,Forced Labour","Personal Sexual Servitude,Servitude,Sexual Servitude","Relationship Marriage,Violence Threats Abuse",Unknown,"Forced,Minor",Male,,,,Internet/URL,tah,US,United States,Reference,40.78,-73.97
2023-04-24,"Child Trafficking,Child Labour","Arts and Entertainment,Child Marriage,Domestic Work/Servitude,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude","Financial Obligation, Blackmail,Violence Threats Abuse",Car,"Forced,Minor",Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.68,-73.84
2021-08-17,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,,Unknown,"23,81",Female,12-year-old,Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2022-12-20,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Truck,Sexual Abuse,Unknown,"55-year-old,47-year-old",Female,,Internet/URL,tah,US,United States,Arrest,40.65,-73.95
2024-02-21,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,,Female,minors,Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2023-06-03,Child Sexual Exploitation,"Arts and Entertainment,Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,,Female,minors,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2024-09-25,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",Violence Threats Abuse,Unknown,"Forced,Minor,Sexual Abuse",Male,54-year-old,"Female,Male",,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2023-10-13,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Child Marriage,Personal Sexual Servitude,Pre-School/Child Day Care Service,Professional/Scientific/Tech Services,Servitude,Sexual Servitude",Social Media,"Car,Bus,Truck","Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,41.15,-74.02
2023-02-23,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Female,"56-year-old,99-years-old",Female,"14-year-old,minors",Internet/URL,tah,US,United States,Arrest,40.65,-73.95
2022-09-15,Child Trafficking,"Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,Minor,Unknown,30,Female,7,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2022-07-11,Sexual Exploitation,"Arts and Entertainment,Personal Sexual Servitude,Servitude",,Car,Minor,Female,,Female,underage,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
