event id,event name,event agency,event type,event borough,event location,event street side,street closure type,community board,police precinct,start_date,start_time,end_date,end_time
590068.0,green arts - new york chinese cultural center presents chinese dance in the parks,Parks Department,Special Event,Manhattan,Columbus Park: Pavilion ,,,"3, ","5, ",2021-08-15,11:00:00,2021-08-15,13:00:00
783620.0,new york city plus beach day 2024,Parks Department,Special Event,Queens,Rockaway Beach Boardwalk: Beach 108th Street,,,"14,","100,",2024-07-27,14:00:00,2024-07-27,18:00:00
550145.0,summer on the hudson birding walks,Parks Department,Special Event,Manhattan,Riverside Park: Lawn-116th Street-RSP,,,"9,","26,",2021-09-10,17:30:00,2021-09-10,19:00:00
612539.0,prospect park,Parks Department,Special Event,Brooklyn,"Prospect Park: Picnic House South ,Prospect Park: Picnic House",,,"55,","78,",2022-10-23,12:00:00,2022-10-23,17:00:00
682370.0,monthly meeting,Parks Department,Special Event,Staten Island,Blue Heron Park: Blue Heron Park,,,"3,","123,",2023-06-06,20:00:00,2023-06-06,21:00:00
798204.0,miscellaneous,Parks Department,Special Event,Brooklyn,Seth Low Playground: Multi Purpose Play Area 02,,,"11,","62,",2024-12-23,09:00:00,2024-12-23,14:00:00
596716.0,sri chinmoy 3100 mile race,Parks Department,Special Event,Queens,Joseph Austin Playground: Perimeter Sidewalk,,,"8,","107,",2021-10-26,00:00:00,2021-10-26,23:59:00
713125.0,von king park conservancy,Parks Department,Special Event,Brooklyn,Herbert Von King Park: Plaza,,,"3,","79,",2024-01-06,08:00:00,2024-01-06,19:00:00
698739.0,miscellaneous,Parks Department,Special Event,Queens,Alley Pond Park: Alley Springfield BBQ Area Yellow,,,"11,","111,",2023-08-31,08:00:00,2023-08-31,16:00:00
779174.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Van Voorhees Playground: Sitting Area   ,Van Voorhees Playground: Softball-01 ,Van Voorhees Playground: Basketball-01",,,"06, 6,","76,",2024-07-25,12:00:00,2024-07-25,14:00:00
684438.0,bark the herald angels sing rain date,Parks Department,Special Event,Brooklyn,Prospect Park: Picnic House South,,,"55,","78,",2023-12-09,07:00:00,2023-12-09,10:00:00
